"","name","key","datasetKey","publishingOrgKey","publishingCountry","protocol","lastCrawled","lastParsed","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","scientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","dateIdentified","decimalLongitude","decimalLatitude","year","month","day","eventDate","issues","modified","lastInterpreted","references","identifiers","facts","relations","geodeticDatum","class","countryCode","country","gbifID","verbatimEventDate","institutionCode","datasetName","verbatimLocality","catalogNumber","recordedBy","rights","rightsHolder","identifier","taxonID","collectionCode","identificationID","occurrenceRemarks","eventTime","informationWithheld","infraspecificEpithet","locality","prov"
"23","Branta canadensis",891035213,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.282+0000","2014-05-29T20:14:53.189+0000","none","HUMAN_OBSERVATION",5232437,1,44,212,1108,2986,2498190,5232437,"Branta canadensis (Linnaeus, 1758)","Animalia","Chordata","Anseriformes","Anatidae","Branta","Branta canadensis","Branta","canadensis","SPECIES","2014-01-21T05:32:40.000+0000",-121.8107,39.73378,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:57:19.000+0000","2014-06-05T19:24:51.919+0000","http://www.inaturalist.org/observations/506135","none","none","none","WGS84","Aves","US","United States","891035213","2014-01-20","iNaturalist","iNaturalist research-grade observations","Teichard Ponds, Chico, California","506135","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","506135","7089","Observations","876918",NA,NA,NA,NA,NA,"gbif"
"24","Aneides flavipunctatus",891035435,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.465+0000","2014-07-08T12:27:57.789+0000","none","HUMAN_OBSERVATION",2431706,1,44,131,953,6748,2431705,2431706,"Aneides flavipunctatus (Strauch, 1870)","Animalia","Chordata","Caudata","Plethodontidae","Aneides","Aneides flavipunctatus","Aneides","flavipunctatus","SPECIES","2014-01-21T22:06:11.000+0000",-123.82636,40.13098,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-06-30T08:14:43.000+0000","2014-07-08T12:30:52.123+0000","http://www.inaturalist.org/observations/506618","none","none","none","WGS84","Amphibia","US","United States","891035435","2014-01-20","iNaturalist","iNaturalist research-grade observations","Redway, CA","506618","Kim Cabrera","Copyright Kim Cabrera, licensed under a Creative Commons cc_by_nd_name license: http://creativecommons.org/licenses/by-nd/3.0/","Kim Cabrera","506618","27437","Observations","878428",NA,NA,NA,NA,NA,"gbif"
"25","Picoides nuttallii",891034564,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.110+0000","2014-05-29T20:14:49.920+0000","none","HUMAN_OBSERVATION",2477733,1,44,212,724,9333,2477732,2477733,"Picoides nuttallii (Gambel, 1843)","Animalia","Chordata","Piciformes","Picidae","Picoides","Picoides nuttallii","Picoides","nuttallii","SPECIES","2014-01-19T22:52:51.000+0000",-121.94873,39.72249,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:26.000+0000","2014-06-05T19:24:49.740+0000","http://www.inaturalist.org/observations/504876","none","none","none","WGS84","Aves","US","United States","891034564","2014-01-19","iNaturalist","iNaturalist research-grade observations","Bidwell-Sacramento River State Park","504876","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504876","17645","Observations","874004","This was a camera experiment, as the bird was at an odd angle to me",NA,NA,NA,NA,"gbif"
"26","Calidris minutilla",891035224,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.207+0000","2014-05-29T20:14:52.900+0000","none","HUMAN_OBSERVATION",2481745,1,44,212,7192402,5282,2481739,2481745,"Calidris minutilla (Vieillot, 1819)","Animalia","Chordata","Charadriiformes","Scolopacidae","Calidris","Calidris minutilla","Calidris","minutilla","SPECIES","2014-01-21T05:27:33.000+0000",-121.90855,39.69759,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:57:10.000+0000","2014-06-05T19:24:51.929+0000","http://www.inaturalist.org/observations/506099","none","none","none","WGS84","Aves","US","United States","891035224","2014-01-20","iNaturalist","iNaturalist research-grade observations","Chico Wastewater Treatment Plant, Chico, California","506099","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","506099","3864","Observations","876876","With Dunlin in the background",NA,NA,NA,NA,"gbif"
"27","Spirobolidae",911491599,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.487+0000","2014-06-16T13:16:42.632+0000","none","HUMAN_OBSERVATION",8259,1,54,361,1466,8259,NA,NA,"Spirobolidae Bollman, 1893","Animalia","Arthropoda","Spirobolida","Spirobolidae",NA,NA,"Spirobolidae",NA,"FAMILY","2014-01-21T22:01:57.000+0000",-123.82767,40.13326,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-05-22T16:56:14.000+0000","2014-06-16T13:16:42.675+0000","http://www.inaturalist.org/observations/506615","none","none","none","WGS84","Diplopoda","US","United States","911491599","2014-01-20","iNaturalist","iNaturalist research-grade observations","Redway, CA","506615","Kim Cabrera","Copyright Kim Cabrera, licensed under a Creative Commons cc_by_nd_name license: http://creativecommons.org/licenses/by-nd/3.0/","Kim Cabrera","506615","56605","Observations","878419","Narceus americanus millipede with scats.",NA,NA,NA,NA,"gbif"
"28","Procyon lotor",891034623,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.722+0000","2014-07-08T12:27:56.962+0000","none","HUMAN_OBSERVATION",5218786,1,44,359,732,5311,2433592,5218786,"Procyon lotor (Linnaeus, 1758)","Animalia","Chordata","Carnivora","Procyonidae","Procyon","Procyon lotor","Procyon","lotor","SPECIES","2014-01-20T00:28:52.000+0000",-122.79741,38.43058,2014,1,19,"2014-01-19T01:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES,MODIFIED_DATE_UNLIKELY","2014-07-01T12:25:36.000+0000","2014-07-08T12:30:53.129+0000","http://www.inaturalist.org/observations/504970","none","none","none","WGS84","Mammalia","US","United States","891034623","2014-01-19 5pm","iNaturalist","iNaturalist research-grade observations","piezzi road santa rosa","504970","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","504970","41663","Observations","874231","In a recently dried out creek.","01:00:00Z",NA,NA,NA,"gbif"
"29","Aix sponsa",891035217,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.292+0000","2014-05-29T20:14:52.899+0000","none","HUMAN_OBSERVATION",2498387,1,44,212,1108,2986,2498386,2498387,"Aix sponsa (Linnaeus, 1758)","Animalia","Chordata","Anseriformes","Anatidae","Aix","Aix sponsa","Aix","sponsa","SPECIES","2014-01-21T05:33:21.000+0000",-121.8107,39.73378,2014,1,20,"2014-01-19T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:57:20.000+0000","2014-06-05T19:24:51.928+0000","http://www.inaturalist.org/observations/506136","none","none","none","WGS84","Aves","US","United States","891035217","2014-01-20","iNaturalist","iNaturalist research-grade observations","Teichard Ponds, Chico, California","506136","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","506136","7107","Observations","876922","Not a great picture, in flight.",NA,NA,NA,NA,"gbif"
"30","Passerella iliaca",891031510,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.182+0000","2014-05-29T20:14:28.769+0000","none","HUMAN_OBSERVATION",2491872,1,44,212,729,9608,2491871,2491872,"Passerella iliaca (Merrem, 1786)","Animalia","Chordata","Passeriformes","Emberizidae","Passerella","Passerella iliaca","Passerella","iliaca","SPECIES","2014-01-11T04:49:24.000+0000",-123.80487,39.31038,2014,1,10,"2014-01-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:43:03.000+0000","2014-06-05T19:24:37.255+0000","http://www.inaturalist.org/observations/498537","none","none","none","WGS84","Aves","US","United States","891031510","2014-01-10","iNaturalist","iNaturalist research-grade observations","Mendocino, CA","498537","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498537","9156","Observations","858772",NA,NA,NA,NA,NA,"gbif"
"31","Trametes versicolor",891032104,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.604+0000","2014-05-29T20:14:33.390+0000","none","HUMAN_OBSERVATION",2548311,5,34,186,1145,3286,2519084,2548311,"Trametes versicolor (L.) Lloyd, 1921","Fungi","Basidiomycota","Polyporales","Polyporaceae","Trametes","Trametes versicolor","Trametes","versicolor","SPECIES","2014-01-13T19:03:50.000+0000",-122.66589,38.45498,2014,1,12,"2014-01-12T21:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-10T14:42:59.000+0000","2014-06-05T19:24:39.926+0000","http://www.inaturalist.org/observations/500013","none","none","none","WGS84","Agaricomycetes","US","United States","891032104","2014-01-12 1pm","iNaturalist","iNaturalist research-grade observations","howarth park","500013","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","500013","54134","Observations","864547",NA,"21:00:00Z",NA,NA,NA,"gbif"
"32","Anser albifrons",891034579,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:57.070+0000","2014-05-29T20:14:49.919+0000","none","HUMAN_OBSERVATION",2498017,1,44,212,1108,2986,2498016,2498017,"Anser albifrons (Scopoli, 1769)","Animalia","Chordata","Anseriformes","Anatidae","Anser","Anser albifrons","Anser","albifrons","SPECIES","2014-01-19T22:49:48.000+0000",-121.9103,39.60556,2014,1,19,"2014-01-18T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:44:21.000+0000","2014-06-05T19:24:49.792+0000","http://www.inaturalist.org/observations/504871","none","none","none","WGS84","Aves","US","United States","891034579","2014-01-19","iNaturalist","iNaturalist research-grade observations","Llano Seco Unit, Sacramento River NWR, Chico, California","504871","Jennifer Rycenga","Copyright Jennifer Rycenga, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Jennifer Rycenga","504871","7019","Observations","873996",NA,NA,NA,NA,NA,"gbif"
"33","Aphelocoma californica",891034424,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.587+0000","2014-05-29T20:14:48.233+0000","none","HUMAN_OBSERVATION",2482414,1,44,212,729,5235,2482394,2482414,"Aphelocoma californica (Vigors, 1839)","Animalia","Chordata","Passeriformes","Corvidae","Aphelocoma","Aphelocoma californica","Aphelocoma","californica","SPECIES","2014-01-19T15:48:09.000+0000",-122.68486,38.56681,2014,1,17,"2014-01-16T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T20:40:56.000+0000","2014-06-05T19:24:48.862+0000","http://www.inaturalist.org/observations/504539","none","none","none","WGS84","Aves","US","United States","891034424","2014-01-17","iNaturalist","iNaturalist research-grade observations","3470 Franz valley rd., Santa Rosa, ca","504539","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","504539","7844","Observations","873302",NA,NA,NA,NA,NA,"gbif"
"34","Xanthium strumarium",891034655,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.838+0000","2014-05-29T20:14:49.958+0000","none","HUMAN_OBSERVATION",3089154,6,49,220,414,3065,3089139,3089154,"Xanthium strumarium L.","Plantae","Magnoliophyta","Asterales","Asteraceae","Xanthium","Xanthium strumarium","Xanthium","strumarium","SPECIES","2014-01-20T00:39:14.000+0000",-122.79741,38.43058,2014,1,19,"2014-01-19T01:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-09T17:38:16.000+0000","2014-06-05T19:24:49.939+0000","http://www.inaturalist.org/observations/504982","none","none","none","WGS84","Magnoliopsida","US","United States","891034655","2014-01-19 5pm","iNaturalist","iNaturalist research-grade observations","piezzi road santa rosa","504982","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","504982","57920","Observations","874258","A nearby creek is drying out from the draught. I went to go mud-slogging and take some picks, so my rain boots are fully covered in mud! I walked through a patch of cocklebur I documented this summer and saw lots of algae and new Watson's willow herb growing from the clay creek bed. A cocklebur clung on my pants. The leaves on the ground are black oak.","01:00:00Z",NA,NA,NA,"gbif"
"35","Sphyrapicus ruber",891779509,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:53.706+0000","2014-05-29T21:30:16.574+0000","none","HUMAN_OBSERVATION",2478597,1,44,212,724,9333,2478596,2478597,"Sphyrapicus ruber (Gmelin, 1788)","Animalia","Chordata","Piciformes","Picidae","Sphyrapicus","Sphyrapicus ruber","Sphyrapicus","ruber","SPECIES","2014-01-03T02:43:04.000+0000",-122.78365,38.61325,2014,1,2,"2014-01-01T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T18:46:47.000+0000","2014-06-05T20:08:47.336+0000","http://www.inaturalist.org/observations/492433","none","none","none","WGS84","Aves","US","United States","891779509","2014-01-02","iNaturalist","iNaturalist research-grade observations","Alexander Valley, CA","492433","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","492433","18464","Observations","844714",NA,NA,NA,NA,NA,"gbif"
"36","Passerella iliaca",891780466,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:54.111+0000","2014-05-29T21:30:17.965+0000","none","HUMAN_OBSERVATION",2491872,1,44,212,729,9608,2491871,2491872,"Passerella iliaca (Merrem, 1786)","Animalia","Chordata","Passeriformes","Emberizidae","Passerella","Passerella iliaca","Passerella","iliaca","SPECIES","2014-01-06T02:35:24.000+0000",-122.79741,38.43058,2014,1,5,"2014-01-05T00:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:07:50.000+0000","2014-06-05T20:08:49.667+0000","http://www.inaturalist.org/observations/494646","none","none","none","WGS84","Aves","US","United States","891780466","2014-01-05 4pm","iNaturalist","iNaturalist research-grade observations","piezzi road","494646","Naturalist Eve","Copyright Naturalist Eve, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","Naturalist Eve","494646","9156","Observations","850025","This bird was staring inside my house from the deck for like an hour. I got my camera and it let me get really close. I thought it might have been hurt, maybe crashed into my window or something.  when I stood up it flew away like nothing had happened to it! ","00:00:00Z",NA,NA,NA,"gbif"
"37","Phalacrocorax pelagicus",891031499,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:55.147+0000","2014-05-29T20:14:28.766+0000","none","HUMAN_OBSERVATION",2481870,1,44,212,7192775,5268,2481854,2481870,"Phalacrocorax pelagicus Pallas, 1811","Animalia","Chordata","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax pelagicus","Phalacrocorax","pelagicus","SPECIES","2014-01-11T04:35:57.000+0000",-123.81141,39.30993,2014,1,10,"2014-01-09T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-03-08T19:43:00.000+0000","2014-06-05T19:24:37.251+0000","http://www.inaturalist.org/observations/498534","none","none","none","WGS84","Aves","US","United States","891031499","2014-01-10","iNaturalist","iNaturalist research-grade observations","Mendocino, CA","498534","Don Loarie","Copyright Don Loarie, licensed under a Creative Commons cc_by_name license: http://creativecommons.org/licenses/by/3.0/","Don Loarie","498534","4283","Observations","858764",NA,NA,NA,NA,NA,"gbif"
"38","Geophilomorpha",891033710,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","US","DWC_ARCHIVE","2014-07-08T12:27:56.265+0000","2014-05-29T20:14:43.554+0000","none","HUMAN_OBSERVATION",1251,1,54,360,1251,NA,NA,NA,"Geophilomorpha","Animalia","Arthropoda","Geophilomorpha",NA,NA,NA,"Geophilomorpha",NA,"ORDER","2014-01-18T16:30:59.000+0000",-122.70726,38.5748,2014,1,5,"2014-01-04T23:00:00.000+0000","COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,COUNTRY_DERIVED_FROM_COORDINATES","2014-02-10T14:58:07.000+0000","2014-06-05T19:24:45.945+0000","http://www.inaturalist.org/observations/503229","none","none","none","WGS84","Chilopoda","US","United States","891033710","2014-01-05","iNaturalist","iNaturalist research-grade observations","pepperwood preserve","503229","curiousgeorge61","Copyright curiousgeorge61, licensed under a Creative Commons cc_by_nc_name license: http://creativecommons.org/licenses/by-nc/3.0/","curiousgeorge61","503229","67662","Observations","872167","One of the few things I found looking under stuff around Turtle Pond.",NA,NA,NA,NA,"gbif"
